Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.66680908203125;825.347160916199;-6.060791015625E-06;3;3376;0.00130073870718479;-0.00174695737659931;10 µA
-0.66436767578125;825.591301915582;-6.0577392578125E-06;3;3377;0.00130073870718479;-0.00174695737659931;10 µA
-0.66192626953125;825.835442914966;-6.0577392578125E-06;3;3378;0.00130073870718479;-0.00174695737659931;10 µA
-0.65948486328125;826.07958391435;-6.060791015625E-06;3;3379;0.00130073870718479;-0.00174695737659931;10 µA
-0.65704345703125;826.323724913733;-6.060791015625E-06;3;3380;0.00130073870718479;-0.00174695737659931;10 µA
-0.65460205078125;826.567865913117;-6.060791015625E-06;3;3381;0.00130073870718479;-0.00174695737659931;10 µA
-0.65216064453125;826.8120069125;-6.0577392578125E-06;3;3382;0.00130073870718479;-0.00174695737659931;10 µA
-0.64971923828125;827.056147911884;-6.0577392578125E-06;3;3383;0.00130073870718479;-0.00174695737659931;10 µA
-0.64727783203125;827.300288911268;-6.06689453125E-06;3;3384;0.00130073870718479;-0.00174695737659931;10 µA
-0.64483642578125;827.544429910651;-6.0638427734375E-06;3;3385;0.00130073870718479;-0.00174695737659931;10 µA
-0.64239501953125;827.788570910035;-6.0638427734375E-06;3;3386;0.00130073870718479;-0.00174695737659931;10 µA
-0.63995361328125;828.032711909418;-6.060791015625E-06;3;3387;0.00130073870718479;-0.00174695737659931;10 µA
-0.63751220703125;828.276852908802;-6.060791015625E-06;3;3388;0.00130073870718479;-0.00174695737659931;10 µA
-0.63507080078125;828.520993908186;-6.0638427734375E-06;3;3389;0.00130073870718479;-0.00174695737659931;10 µA
-0.63262939453125;828.765134907569;-6.0638427734375E-06;3;3390;0.00130073870718479;-0.00174695737659931;10 µA
-0.63018798828125;829.009275906953;-6.060791015625E-06;3;3391;0.00130073870718479;-0.00174695737659931;10 µA
-0.62774658203125;829.253416906336;-6.0546875E-06;3;3392;0.00130073870718479;-0.00174695737659931;10 µA
-0.62530517578125;829.49755790572;-6.0516357421875E-06;3;3393;0.00130073870718479;-0.00174695737659931;10 µA
-0.62286376953125;829.741698905104;-6.048583984375E-06;3;3394;0.00130073870718479;-0.00174695737659931;10 µA
-0.62042236328125;829.985839904487;-6.048583984375E-06;3;3395;0.00130073870718479;-0.00174695737659931;10 µA
-0.61798095703125;830.229980903871;-6.04248046875E-06;3;3396;0.00130073870718479;-0.00174695737659931;10 µA
-0.61553955078125;830.474121903254;-6.0333251953125E-06;3;3397;0.00130073870718479;-0.00174695737659931;10 µA
-0.61309814453125;830.718262902638;-6.0302734375E-06;3;3398;0.00130073870718479;-0.00174695737659931;10 µA
-0.61065673828125;830.962403902022;-6.0272216796875E-06;3;3399;0.00130073870718479;-0.00174695737659931;10 µA
-0.60821533203125;831.206544901405;-6.024169921875E-06;3;3400;0.00130073870718479;-0.00174695737659931;10 µA
-0.60577392578125;831.450685900789;-6.01806640625E-06;3;3401;0.00130073870718479;-0.00174695737659931;10 µA
-0.60333251953125;831.694826900172;-6.0089111328125E-06;3;3402;0.00130073870718479;-0.00174695737659931;10 µA
-0.60089111328125;831.938967899556;-5.999755859375E-06;3;3403;0.00130073870718479;-0.00174695737659931;10 µA
-0.59844970703125;832.18310889894;-5.9967041015625E-06;3;3404;0.00130073870718479;-0.00174695737659931;10 µA
-0.59600830078125;832.427249898323;-5.9906005859375E-06;3;3405;0.00130073870718479;-0.00174695737659931;10 µA
-0.59356689453125;832.671390897707;-5.9814453125E-06;3;3406;0.00130073870718479;-0.00174695737659931;10 µA
-0.59112548828125;832.91553189709;-5.9722900390625E-06;3;3407;0.00130073870718479;-0.00174695737659931;10 µA
-0.58868408203125;833.159672896474;-5.963134765625E-06;3;3408;0.00130073870718479;-0.00174695737659931;10 µA
-0.58624267578125;833.403813895858;-5.9600830078125E-06;3;3409;0.00130073870718479;-0.00174695737659931;10 µA
-0.58380126953125;833.647954895241;-5.9539794921875E-06;3;3410;0.00130073870718479;-0.00174695737659931;10 µA
-0.58135986328125;833.892095894625;-5.9478759765625E-06;3;3411;0.00130073870718479;-0.00174695737659931;10 µA
-0.57891845703125;834.136236894008;-5.9356689453125E-06;3;3412;0.00130073870718479;-0.00174695737659931;10 µA
-0.57647705078125;834.380377893392;-5.926513671875E-06;3;3413;0.00130073870718479;-0.00174695737659931;10 µA
-0.57403564453125;834.624518892776;-5.92041015625E-06;3;3414;0.00130073870718479;-0.00174695737659931;10 µA
-0.57159423828125;834.868659892159;-5.9173583984375E-06;3;3415;0.00130073870718479;-0.00174695737659931;10 µA
-0.56915283203125;835.112800891543;-5.908203125E-06;3;3416;0.00130073870718479;-0.00174695737659931;10 µA
-0.56671142578125;835.356941890926;-5.89599609375E-06;3;3417;0.00130073870718479;-0.00174695737659931;10 µA
-0.56427001953125;835.60108289031;-5.8837890625E-06;3;3418;0.00130073870718479;-0.00174695737659931;10 µA
-0.56182861328125;835.845223889694;-5.8746337890625E-06;3;3419;0.00130073870718479;-0.00174695737659931;10 µA
-0.55938720703125;836.089364889077;-5.8685302734375E-06;3;3420;0.00130073870718479;-0.00174695737659931;10 µA
-0.55694580078125;836.333505888461;-5.8624267578125E-06;3;3421;0.00130073870718479;-0.00174695737659931;10 µA
-0.55450439453125;836.577646887844;-5.84716796875E-06;3;3422;0.00130073870718479;-0.00174695737659931;10 µA
-0.55206298828125;836.821787887228;-5.8349609375E-06;3;3423;0.00130073870718479;-0.00174695737659931;10 µA
-0.54962158203125;837.065928886612;-5.8258056640625E-06;3;3424;0.00130073870718479;-0.00174695737659931;10 µA
-0.54718017578125;837.310069885995;-5.816650390625E-06;3;3425;0.00130073870718479;-0.00174695737659931;10 µA
-0.54473876953125;837.554210885379;-5.8074951171875E-06;3;3426;0.00130073870718479;-0.00174695737659931;10 µA
-0.54229736328125;837.798351884762;-5.7952880859375E-06;3;3427;0.00130073870718479;-0.00174695737659931;10 µA
-0.53985595703125;838.042492884146;-5.7861328125E-06;3;3428;0.00130073870718479;-0.00174695737659931;10 µA
-0.53741455078125;838.28663388353;-5.7708740234375E-06;3;3429;0.00130073870718479;-0.00174695737659931;10 µA
-0.53497314453125;838.530774882913;-5.76171875E-06;3;3430;0.00130073870718479;-0.00174695737659931;10 µA
-0.53253173828125;838.774915882297;-5.7525634765625E-06;3;3431;0.00130073870718479;-0.00174695737659931;10 µA
-0.53009033203125;839.019056881681;-5.7403564453125E-06;3;3432;0.00130073870718479;-0.00174695737659931;10 µA
-0.52764892578125;839.263197881064;-5.7220458984375E-06;3;3433;0.00130073870718479;-0.00174695737659931;10 µA
-0.52520751953125;839.507338880448;-5.7098388671875E-06;3;3434;0.00130073870718479;-0.00174695737659931;10 µA
-0.52276611328125;839.751479879831;-5.6976318359375E-06;3;3435;0.00130073870718479;-0.00174695737659931;10 µA
-0.52032470703125;839.995620879215;-5.6884765625E-06;3;3436;0.00130073870718479;-0.00174695737659931;10 µA
-0.51788330078125;840.239761878599;-5.67626953125E-06;3;3437;0.00130073870718479;-0.00174695737659931;10 µA
-0.51544189453125;840.483902877982;-5.657958984375E-06;3;3438;0.00130073870718479;-0.00174695737659931;10 µA
-0.51300048828125;840.728043877366;-5.6396484375E-06;3;3439;0.00130073870718479;-0.00174695737659931;10 µA
-0.51055908203125;840.972184876749;-5.62744140625E-06;3;3440;0.00130073870718479;-0.00174695737659931;10 µA
-0.50811767578125;841.216325876133;-5.6182861328125E-06;3;3441;0.00130073870718479;-0.00174695737659931;10 µA
-0.50567626953125;841.460466875517;-5.5999755859375E-06;3;3442;0.00130073870718479;-0.00174695737659931;10 µA
-0.50323486328125;841.7046078749;-5.5816650390625E-06;3;3443;0.00130073870718479;-0.00174695737659931;10 µA
-0.50079345703125;841.948748874284;-5.5633544921875E-06;3;3444;0.00130073870718479;-0.00174695737659931;10 µA
-0.49835205078125;842.192889873667;-5.548095703125E-06;3;3445;0.00130073870718479;-0.00174695737659931;10 µA
-0.49591064453125;842.437030873051;-5.5328369140625E-06;3;3446;0.00130073870718479;-0.00174695737659931;10 µA
-0.49346923828125;842.681171872435;-5.5145263671875E-06;3;3447;0.00130073870718479;-0.00174695737659931;10 µA
-0.49102783203125;842.925312871818;-5.4931640625E-06;3;3448;0.00130073870718479;-0.00174695737659931;10 µA
-0.48858642578125;843.169453871202;-5.46875E-06;3;3449;0.00130073870718479;-0.00174695737659931;10 µA
-0.48614501953125;843.413594870585;-5.4473876953125E-06;3;3450;0.00130073870718479;-0.00174695737659931;10 µA
-0.48370361328125;843.657735869969;-5.4290771484375E-06;3;3451;0.00130073870718479;-0.00174695737659931;10 µA
-0.48126220703125;843.901876869353;-5.4107666015625E-06;3;3452;0.00130073870718479;-0.00174695737659931;10 µA
-0.47882080078125;844.146017868736;-5.38330078125E-06;3;3453;0.00130073870718479;-0.00174695737659931;10 µA
-0.47637939453125;844.39015886812;-5.3497314453125E-06;3;3454;0.00130073870718479;-0.00174695737659931;10 µA
-0.47393798828125;844.634299867503;-5.322265625E-06;3;3455;0.00130073870718479;-0.00174695737659931;10 µA
-0.47149658203125;844.878440866887;-5.2978515625E-06;3;3456;0.00130073870718479;-0.00174695737659931;10 µA
-0.46905517578125;845.122581866271;-5.2703857421875E-06;3;3457;0.00130073870718479;-0.00174695737659931;10 µA
-0.46661376953125;845.366722865654;-5.2337646484375E-06;3;3458;0.00130073870718479;-0.00174695737659931;10 µA
-0.46417236328125;845.610863865038;-5.194091796875E-06;3;3459;0.00130073870718479;-0.00174695737659931;10 µA
-0.46173095703125;845.855004864421;-5.1513671875E-06;3;3460;0.00130073870718479;-0.00174695737659931;10 µA
